Cghs Rate List1500.00,,,,,,,
SNo.,Procedure Name,Speciality Classification,Tier,Facility,Ward,Cghs Code No.,Rate (?)
176,Growth Hormone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB173,600.00
177,Thyroid peroxidase antibody (TPO),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB174,700.00
178,Thyroglobulin.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB175,700.00
179,Hydatid Serology,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB176,820.00
180,Anti Sperm Antibodies.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB177,900.00
181,Hepatitis B Virus (HBV) DNA Qualitative,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB178,2500.00
182,Hepatitis B Virus (HBV) DNA Quantitative.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB179,3500.00
183,Hepatitis C Virus (HCV) RNA Qualitative.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB180,3000.00
184,Human papillomavirus (HPV) Serology,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB181,1600.00
185,Rota Virus serology,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB182,400.00
186,Mantoux Test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB183,200.00
187,ADA( Adenosine deaminase),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB184,650.00
188,GeneXpert Test (Tuberculosis),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB185,1035.00
189,QuantiFERON TB Gold,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB186,2500.00
190,PCR for Tuberculosis (TB),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB187,1200.00
191,PCR for Human immunodeficiency virus (HIV),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB188,1800.00
192,Chlamydia antigen,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB189,1000.00
193,Chlamydia antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB190,850.00
194,Brucella serology,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB191,450.00
195,Influenza A serology,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB192,1000.00
196,Acetylcholine receptor (AChR) antibody titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB193,4500.00
197,Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB194,6700.00
198,Serum Copper,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB195,650.00
199,Serum Ceruloplasmin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB196,650.00
200,Urinary copper,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB197,840.00
201,Serum phenobarbitone level,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB198,600.00
202,Coagulation profile,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB199,750.00
203,D-Dimer,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB200,500.00
204,"CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB201,350.00
205,PCR for Herpes simplex,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB202,1400.00
206,Bacterial culture and sensitivity - Aerobic,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB203,460.00
207,Bacterial culture and sensitivity - Anaerobic,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB204,700.00
208,Mycobacterial culture and sensitivity,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB205,550.00
209,Fungal culture,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB206,495.00
210,Anti measles antibody titre (with serum antibody titre),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB207,1200.00
211,Viral culture,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB208,600.00
212,"Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB209,2100.00
213,Oligoclonal bands (OCBs),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB210,2250.00
214,Myelin basic protein (MBP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB211,3500.00
215,Cryptococcal antigen,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB212,1500.00
216,D Xylose test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB213,1100.00
217,Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB214,1000.00
218,H pylori serology for Coeliac disease /Celiac disease,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB215,1200.00
219,HBV genotyping,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB216,2875.00
220,HCV genotyping,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB217,5606.00
221,Urinary Vanillylmandelic Acid (VMA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB218,2185.00
222,Urinary metanephrine/Normetanephrine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB219,2900.00
223,Urinary free catecholamine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB220,2500.00
224,Serum aldosterone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB221,1800.00
225,24 Hr urinary aldosterone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB222,1500.00
226,Plasma renin activity,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB223,1600.00
227,Serum aldosterone/renin ratio,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB224,1500.00
228,Osmolality urine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB225,450.00
229,Osmolality serum,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB226,450.00
230,Urinary sodium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB227,150.00
231,Urinary Chloride,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB228,150.00
232,Urinary potassium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB229,150.00
233,Urinary calcium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB230,150.00
234,Thyroid binding globulin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB231,1100.00
235,24-hour urinary free cortisol,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB232,750.00
236,Islet cell antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB233,1200.00
237,Glutamic Acid Decarboxylase Autoantibodies test (GAD antibodies),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB234,2000.00
238,Insulin associated antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB235,980.00
239,Insulin-like growth factor-1 (IGF-1),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB236,2200.00
240,Insulin-like growth factor binding protein 3 (IGF- BP3),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB237,2300.00
241,Sex hormone binding globulin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB238,1540.00
242,Estradiol (E2),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB239,400.00
243,Thyroglobulin antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB240,700.00
244,"Kappa Lambda Light Chains, Free, Serum/ Serum free light chains (SFLC)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB241,4025.00
245,Serum IgE Level,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB242,380.00
246,N-terminal pro BNP (NT-pro BNP / Brain natriuretic peptide (BNP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB243,2070.00
247,HCV RNA Quantitative,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB244,1845.00
248,Tacrolimus Level,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB245,2645.00
249,"Protein Creatinine Ratio (PCR), Urine / Albumin Creatinine Ratio (ACR), Urine",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB246,152.00
