Cghs Rate List1500.00,,,,,,,
SNo.,Procedure Name,Speciality Classification,Tier,Facility,Ward,Cghs Code No.,Rate (?)
1278,Excision of Axillary Lymph Node under General Anaesthesia,General Surgery,TIER I,NABH,GENERAL WARD,GS010,8500.00
1279,Excision of Inguinal Lymph Node under Local Anaesthesia,General Surgery,TIER I,NABH,GENERAL WARD,GS011,3000.00
1280,Excision of Sebaceous Cysts,General Surgery,TIER I,NABH,GENERAL WARD,GS012,5000.00
1281,Excision of Superficial Lipoma,General Surgery,TIER I,NABH,GENERAL WARD,GS013,5000.00
1282,Excision of Superficial Neurofibroma,General Surgery,TIER I,NABH,GENERAL WARD,GS014,5000.00
1283,Excision of Dermoid Cysts,General Surgery,TIER I,NABH,GENERAL WARD,GS015,5000.00
1284,Excision of Keloid,General Surgery,TIER I,NABH,GENERAL WARD,GS016,9200.00
1285,Excision of mammary fistula,General Surgery,TIER I,NABH,GENERAL WARD,GS017,26125.00
1286,Haemorrhoidectomy,General Surgery,TIER I,NABH,GENERAL WARD,GS018,31350.00
1287,Stapler haemorrhoidectomy excluding the cost of Stapler,General Surgery,TIER I,NABH,GENERAL WARD,GS019,33250.00
1288,Debridement of Large wounds including Diabetic Wound under Anaesthesia,General Surgery,TIER I,NABH,GENERAL WARD,GS020,26125.00
1289,Gastro Oesophageal Reflux Study (GER Study),Gastro and Hepatobiliary Investigation,TIER I,NABH,GENERAL WARD,GI001,3000.00
1290,Meckel's Scan,Gastro and Hepatobiliary/Nuclear Medicine Investigation,TIER I,NABH,GENERAL WARD,GI002,3000.00
1291,Hepatobiliary Scintigraphy.,Gastro and Hepatobiliary/Nuclear Medicine Investigation,TIER I,NABH,GENERAL WARD,GI003,4000.00
1292,Gastrointestinal Bleed (GloB.) Study with Technetium 99m labeled RBCs.,Gastro and Hepatobiliary/Nuclear Medicine Investigation,TIER I,NABH,GENERAL WARD,GI004,6000.00
1293,Gastric Emptying,Gastro and Hepatobiliary/Nuclear Medicine Investigation,TIER I,NABH,GENERAL WARD,GI005,2500.00
1294,Hepatosplenic scintigraphy with Technetium-99m radiopharmaceuticals,Gastro and Hepatobiliary/Nuclear Medicine Investigation,TIER I,NABH,GENERAL WARD,GI006,5000.00
1295,Diagnostic Angiography,Gastroenterology/Interventional Radiology Investigation,TIER I,NABH,GENERAL WARD,GI007,9200.00
1296,Oesophageal pH metry,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,GI008,8740.00
1297,Oesophageal Manometry,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,GI009,9200.00
1298,Small Bowel Manometry,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,GI010,10000.00
1299,Anorectal manometry,Gastroenterology / Endoscopic Investigation,TIER I,NABH,GENERAL WARD,GI011,43000.00
1300,Colonic manometry,Gastroenterology / Endoscopic Investigation,TIER I,NABH,GENERAL WARD,GI012,35000.00
1301,Biliary Manometry,Gastroenterology / Endoscopic Investigation,TIER I,NABH,GENERAL WARD,GI013,43000.00
1302,Breath Tests (Urea breath test/ H. pylori breath test)/RUT,Gastroenterology / Endoscopic Investigation,TIER I,NABH,GENERAL WARD,GI014,2890.00
1303,Gastroscopy/Upper GI Endoscopy with or without Biopsy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG001,4000.00
1304,Lower GI Endoscopy(Colonoscopy/Sigmoidoscopy) with or without Biopsy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG002,6000.00
1305,Endoscopic mucosal resection,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG003,12730.00
1306,Endoscopic Polypectomy - GIT,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG004,19000.00
1307,Oesophageal Stricture dilatation,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG005,9200.00
1308,Balloon dilatation of achalasia cardia,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG006,12730.00
1309,Gastrointestinal (GIT) Foreign body removal,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG007,19000.00
1310,Oesophageal stenting excluding the cost of stent,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG008,13400.00
1311,Band ligation of oesophageal varices,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG009,8500.00
1312,Sclerotherapy of oesophageal varices,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG010,8500.00
1313,Glue injection of varices,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG011,13400.00
1314,Argon plasma coagulation,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG012,9200.00
1315,Pyloric balloon dilatation,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG013,8500.00
1316,Enteral stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG014,19000.00
1317,Duodenal stricture dilation,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG015,8500.00
1318,Single balloon enteroscopy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG016,13400.00
1319,Double balloon enteroscopy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG017,19000.00
1320,Capsule endoscopy excluding the cost of capsule,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG018,12730.00
1321,Piles banding,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG019,5000.00
1322,Colonic stricture dilatation,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG020,8500.00
1323,Hot biopsy forceps procedures,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG021,8500.00
1324,Colonic stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG022,13400.00
1325,Junction biopsy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG023,5000.00
1326,Conjugal microscopy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG024,8500.00
1327,ERCP (Endoscopic Retrograde Cholangio -Pancreatography) Diagnostic,Gastro and Hepatobiliary Investigation,TIER I,NABH,GENERAL WARD,MG025,13400.00
1328,Endoscopic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG026,19000.00
1329,Common Bile Duct (CBD) stone extraction by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG027,19000.00
1330,Common Bile Duct (CBD) stricture dilatation by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG028,19000.00
1331,Biliary stenting (plastic and metallic) by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG029,19000.00
1332,Mechanical lithotripsy of CBD stones by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG030,33250.00
1333,Pancreatic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG031,19000.00
1334,Pancreatic stricture dilatation by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG032,19000.00
1335,Pancreatic stone extraction by ERCP,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG033,19000.00
1336,Mechanical lithotripsy of pancreatic stones,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG034,33250.00
1337,Endoscopic cysto gastrostomy,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG035,19000.00
1338,Balloon dilatation of papilla,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG036,19000.00
1339,Percutaneous Transhepatic Biliary Drainage (PTBD),Gastroenterology/Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG037,19000.00
1340,Vascular Embolization,Gastroenterology/Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG038,40850.00
1341,Transjugular Intrahepatic Portosystemic Shunt (TIPS),Gastroenterology/Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG039,50350.00
1342,Inferior Vena Cava (IVC) Venography and Hepatic Vein (HV Venography),Gastroenterology/Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG040,40850.00
1343,Muscular Stenting,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG041,50350.00
1344,Balloon-Occluded Retrograde Intravenous Obliteration (BRTO),Gastroenterology/Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG042,50350.00
1345,Portal Haemodynamic Studies,Gastroenterology/Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG043,8500.00
1346,Sengstaken Blakemore (SB) Tube Tamponade,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG044,9200.00
1347,Lintas Machles Tube Tempode,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG045,6000.00
1348,EUS (Endoscopic Ultrasound) guided FNAC Excluding the cost of the Needle,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG046,16500.00
1349,Atresia of Oesophagus and Tracheo Oesophageal Fistula,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG001,50350.00
1350,Operations for Replacement of Oesophagus by Colon / Colon-Inter position or Replacement of Oesophagus,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG002,50350.00
1351,Heller-s Operation,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG003,40850.00
1352,Oesophageal Intubation (Mousseau Barbin Tube),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG004,26125.00
1353,Achalasia Cardia Transthoracic,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG005,40850.00
1354,Achalasia Cardia Abdominal,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG006,40850.00
1355,Pyloromyotomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG007,26125.00
1356,Gastrostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG008,26125.00
1357,Simple Closure of Perforated peptic Ulcer,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG009,33250.00
1358,Vagotomy Pyloroplasty / Gastro Jejunostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG010,40850.00
1359,Duodenojejunostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG011,50350.00
1360,Partial/Subtotal Gastrectomy for Ulcer,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG012,50350.00
1361,Operation for Bleeding Peptic Ulcer,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG013,40850.00
1362,Operation for Gastrojejunal Ulcer,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG014,40850.00
1363,Highly Selective Vagotomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG015,50350.00
1364,Selective Vagotomy & Drainage,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG016,50350.00
1365,Exploratory Laparotomy (Open),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG017,26125.00
1366,Congenital Diaphragmatic Hernia,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG018,40850.00
1367,Hiatus Hernia Repair- Abdominal (excluding cost of mesh and tacker if used),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG019,34485.00
1368,Hiatus Hernia Repair- Transthoracic (excluding cost of mesh and tacker if used),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG020,34485.00
1369,Epigastric Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG021,26125.00
1370,Umbilical Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG022,33250.00
1371,Ventral /incisional Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG023,33250.00
1372,Inguinal Hernia Herniorrhaphy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG024,27170.00
1373,Inguinal Hernia - Hernioplasty excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG025,33250.00
1374,Femoral Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG026,33250.00
1375,"Rare Hernias Repair (Spigelian, Obturator, Lumbar, Sciatic) - excluding the cost of mesh and tacker",Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG027,40850.00
1376,Splenectomy - For Trauma,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG028,50350.00
1377,Splenectomy - For Hypersplenism,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG029,59850.00
1378,Splenorenal Anastomosis,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG030,50350.00
1379,Portocaval Anastomosis,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG031,59850.00
1380,Direct Operation on Oesophagus for Portal Hypertension,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG032,50350.00
1381,Mesentericocaval Anastomosis,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG033,40850.00
1382,Warren Shunt (Distal Splenorenal Shunt),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG034,50350.00
1383,Pancreaticoduodenectomy (Whipple's procedure),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG035,50350.00
1384,Cystojejunostomy or Cystogastrostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG036,40850.00
1385,Cholecystectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG037,33250.00
1386,Cholecystectomy & Exploration of CBD,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG038,34485.00
1387,Repair of Common Bile Duct (CBD),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG039,40850.00
1388,Cholecystostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG040,25080.00
1389,Operation for Hydatid Cyst of Liver,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG041,28215.00
1390,Hepatic Resections (Lobectomy /Hepatectomy),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG042,34485.00
1391,Operation on Adrenal Glands - Bilateral,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG043,59850.00
1392,Operation on Adrenal Glands - Unilateral,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG044,40850.00
1393,Appendicectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG045,19855.00
1394,Appendicular Abscess - Drainage,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG046,33250.00
1395,Mesenteric Cyst- Excision,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG047,33250.00
1396,Diagnostic Peritonioscopy/Laparoscopy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG048,19000.00
1397,Jejunostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG049,33250.00
1398,Ileostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG050,33250.00
1399,Resection & Anastomosis of Small Intestine,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG051,49638.00
1400,Duodenal Diverticulum,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG052,50350.00
1401,"Operation for Intestinal Obstruction including resection , anastomosis, Adhesiolysis",Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG053,50350.00
1402,"Operation for Intestinal perforation including resection, anastomosis , Adhesiolysis",Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG054,50350.00
1403,Operations for Benign Tumours of Small Intestine,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG055,50350.00
1404,Excision of Small Intestine Fistula,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG056,47025.00
1405,Operations for GI Bleed,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG057,50350.00
1406,Operations for Haemorrhage of Small Intestines,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG058,50350.00
1407,Operations of the Duplication of the Intestines - including Exploratory Laparotomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG059,42845.00
1408,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG060,50350.00
1409,Ileosigmoidostomy and related resection,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG061,50350.00
1410,Ileotransverse Colostomy and related resection,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG062,50350.00
1411,Caecostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG063,33250.00
1412,Loop Colostomy Transverse Sigmoid,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG064,40850.00
1413,Terminal Colostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG065,31350.00
1414,Closure of Colostomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG066,31350.00
1415,Right Hemicolectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG067,33440.00
1416,Left Hemicolectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG068,33440.00
1417,Total Colectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG069,41800.00
1418,Operations for Volvulus of Large Bowel,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG070,50350.00
1419,Operations for Sigmoid Diverticulitis,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG071,40850.00
1420,Fissure in Ano with Internal sphincterotomy with fissurectomy.,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG072,33250.00
1421,Fissure in Ano - Fissurectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG073,26125.00
1422,Rectal Polyp-Excision,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG074,14317.00
1423,Fistula in Ano - High Fistulectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG075,33250.00
1424,Fistula in Ano - Low Fistulectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG076,24035.00
1425,Prolapse Rectum - Thiersch Wiring,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG077,26125.00
1426,Prolapse Rectum - Rectopexy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG078,14630.00
1427,Excision of Pilonidal Sinus (open),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG079,22990.00
1428,Excision of Pilonidal Sinus with closure,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG080,26125.00
1429,Abdomino-Perineal Excision of Rectum,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG081,50350.00
1430,Anterior Resection of Rectum,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG082,59850.00
1431,Pull Through Abdominal Resection,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG083,50350.00
1432,Retro Peritoneal Tumour Removal,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG084,50350.00
1433,Laparoscopic Fundoplication,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG085,59850.00
1434,Laparoscopic Splenectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG086,59850.00
1435,Laparoscopic Removal of hydatid cyst,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG087,59850.00
1436,Laparoscopic Treatment of Pseudo Pancreatic cyst,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG088,59850.00
1437,Laparoscopic Whipple's operation (Laparoscopic Pancreaticoduodenectomy),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG089,50350.00
1438,Laparoscopic GI bypass operation,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG090,59850.00
1439,Laparoscopic Total Colectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG091,59850.00
1440,Laparoscopic Hemicolectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG092,50350.00
1441,Laparoscopic Anterior Resection (of Intestine/Rectum),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG093,59850.00
1442,Laparoscopic Cholecystectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG094,34485.00
1443,Laparoscopic Appendectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG095,31350.00
1444,Laparoscopic Hernia - Inguinoplasty (excluding the cost of Tacker and Mesh),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG096,36575.00
1445,Laparoscopic Ventral Hernia Repair (excluding the cost of Tacker and Mesh),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG097,36575.00
1446,Laparoscopic Paraumbilical Hernia Repair (excluding the cost of Tacker and Mesh),Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG098,36575.00
1447,Laparoscopic Adrenalectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG099,59850.00
1448,Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS001,50350.00
1449,Tracheoesophageal Fistula (Correction Surgery),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS002,50350.00
1450,Colon Replacement of Oesophagus,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS003,40850.00
1451,Omphalomesenteric Cyst Excision,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS004,40850.00
1452,Omphalomesenteric Duct- Excision,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS005,40850.00
1453,Omphalocele 1st Stage (Hernia Repair),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS006,33250.00
1454,Omphalocele 2nd Stage (Hernia Repair),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS007,33250.00
1455,Gastroschisis Repair,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS008,40850.00
1456,Inguinal Herniotomy,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS009,33250.00
1457,Congenital Hydrocele,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS010,33250.00
1458,Hydrocele of Cord,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS011,26125.00
1459,Torsion Testis Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS012,33250.00
1460,Congenital Pyloric Stenosis- operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS013,33250.00
1461,Duodenal Atresia Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS014,40850.00
1462,Pancreatic Ring Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS015,50350.00
1463,Meconium Ileus Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS016,40850.00
1464,Malrotation of Intestines Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS017,40850.00
1465,Rectal Biopsy (Megacolon),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS018,19000.00
1466,Colostomy Transverse,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS019,40850.00
1467,Colostomy Left Iliac,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS020,40850.00
1468,Abdominal Perineal Pull Through (Hirschsprung's Disease),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS021,50350.00
1469,Imperforate Anus Low Anomaly -Cut Back Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS022,26125.00
1470,Imperforate Anus Low Anomaly - Perineal Anoplasty,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS023,33250.00
1471,Imperforate Anus High Anomaly -Sacroabdomino Perineal Pull Through,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS024,50350.00
1472,Imperforate Anus High Anomaly - Closure of Colostomy,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS025,33250.00
1473,Intussusception Operation,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS026,40850.00
1474,Choledochoduodenostomy for Atresia of Extra Hepatic Biliary Duct,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS027,50350.00
1475,Operation of Choledochal Cyst,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS028,50350.00
1476,Nephrectomy for -Pyonephrosis,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS029,40850.00
1477,Nephrectomy for - Hydronephrosis,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS030,40850.00
1478,Sacro-Coccygeal Teratoma Excision,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS031,40850.00
1479,Congenital Atresia & Stenosis of Small Intestine,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS032,50350.00
1480,Malrotation & Volvulus of the Midgut,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS033,40850.00
1481,Excision of Meckel-s Diverticulum,Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS034,40850.00
1482,Non Stress Test,Obstetrics Investigation,TIER I,NABH,GENERAL WARD,OG001,1500.00
1483,Normal delivery with or without Episiotomy & P.repair/ forceps delivery /Vacuum delivery/assisted breech delivery including Routine New Born Care,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG002,33250.00
1484,"Normal Delivery of High Risk Pregnancy(Preeclampsia/Eclampsia/GDM/Cardiac/Vascular/Renal/Pulmonary/Twin Pregnancy/RA/SLE/IVF Conception/Severe Anaemia,)",Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG003,40850.00
1485,Caesarean Section(CS) with or without Sterilization including Routine New Born Care,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG004,50350.00
1486,Caesarian Delivery of High Risk Pregnancy(Preeclampsia/Eclampsia/GDM/Cardiac/Vascular/Renal/Pulmonary/Twin Pregnancy/RA/SLE/IVF Conception/Severe Anaemia),Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG005,59850.00
